platform,daily_active_users_dau,new_registrations,session_duration_minutes,ingame_purchases_,social_media_mentions,stream_viewership,revenue_,top_genre,influencer_endorsements,revenue_per_user,log_revenue_per_user,log_revenue,engagement_level,scaled_daily_active_users_dau,scaled_session_duration_minutes,scaled_ingame_purchases_,scaled_revenue_per_user,scaled_log_revenue,scaled_social_media_mentions,scaled_stream_viewership,scaled_new_registrations,dau_x_duration,stream_viewers_per_player,purchases_per_session,behavior_high_engagement_low_monetization,behavior_high_purchases_low_dau,behavior_stream_viewers_high_low_game_session,release_month,release_dayofweek,release_quarter,holiday_season,summer_season,dau_bin,revenue_bin
PC,142204,14220,31.26663517723865,60772.72406008391,7116,85079.54276643321,87378.40758958894,Action,0,0.6144581558155111,0.4789993931444979,11.378014922779869,Low,0.6961368734794469,0.2509824691004697,0.5643786843209423,0.0421129058688329,0.8410257788369644,0.6795954656590353,0.7076662375027221,0.6961558715113219,4446240.588744045,0.5982921912634891,1943.6924925111534,0,0,1,4,2,2,0,0,High,High
PC,132314,13231,23.31443583108024,43499.83444985586,6582,64188.42057566997,41132.11375077948,Action,0,0.3108674346688897,0.2706890819486763,10.624568763459385,Low,0.6440562828465808,0.1643202769754685,0.3723397104477354,0.0203459900496997,0.6193539544051072,0.6202489442098243,0.4804562205256414,0.6440758293838863,3084826.262553551,0.48512191132963983,1865.789709218126,0,0,1,3,2,1,0,0,High,Medium
VR,111557,11155,33.85933430235799,52178.79131396489,5572,34385.66578808094,71787.34204137765,Simulation,0,0.6435036980321956,0.4968303642152524,11.181477374741617,Low,0.534750234336328,0.2792374184450128,0.4688318439635078,0.0441954196886355,0.783202354689053,0.5080017781729272,0.1563240671918296,0.5347551342812007,3777245.7567681507,0.3082340488546747,1541.0459889145284,0,0,0,3,5,1,0,0,Medium,High
Console,132909,13290,80.58001029647639,25085.562444062,6619,43129.91570688823,18639.64115615618,RPG,0,0.1402436340364924,0.1312419536399047,9.83309948443752,High,0.6471895438603882,0.7883941967101589,0.1676109140267361,0.008112566409218,0.3864953262308339,0.6243609691042453,0.2514257641883878,0.6471827277514483,10709808.588494381,0.32450711168459795,311.3124750389731,1,0,0,3,2,1,0,0,High,Low
Mobile,130694,13069,37.27090314705249,55277.07443914834,6555,69341.38982693356,63849.95974957958,Action,0,0.4885454554117219,0.3977994387378414,11.064306892664549,Low,0.6355253873131892,0.3164163197522856,0.5032783740783406,0.0330851887505441,0.7487295603025119,0.6172482773949766,0.5364994632184459,0.6355450236966825,4871083.415900879,0.5305629166368278,1483.1160441981356,0,0,1,2,3,1,0,0,High,Medium
PC,143731,14373,48.8496175656616,28236.81172442309,7088,65182.86741396299,17343.95413233272,Simulation,0,0.1206695433297807,0.1139263132362993,9.761056914968686,Medium,0.7041780324174031,0.4425998734871111,0.2026463187491098,0.0067091388504314,0.3652996407616582,0.6764836630362302,0.4912717373249861,0.7042127435492365,7021204.3823301075,0.45350597584350616,578.035471546289,0,0,1,5,3,2,0,0,High,Low
PC,104264,10426,52.4735994817472,36333.08656938105,5123,29588.68878148995,20798.0871922978,RPG,1,0.1994752473749117,0.1818841672988738,9.942664379740751,Medium,0.4963454064813742,0.4820936290380278,0.2926602277421088,0.0123593679468255,0.4187304765930806,0.4581018004000889,0.1041525650028231,0.4963665086887835,5471107.3763648905,0.28378624243737005,692.40698042869,0,0,0,5,4,2,0,0,Medium,Low
Console,135586,13558,58.64575429068147,65920.96975312957,6828,55361.32371380995,36327.50553504805,FPS,0,0.2679296205732748,0.2373853501948629,10.500357988532318,Medium,0.661286585430073,0.5493570919610881,0.6216165780636438,0.0172674249955805,0.5828098314421477,0.647588352967326,0.3844534874255353,0.6612954186413903,7951543.241256338,0.4083115049769884,1124.0535747291785,0,0,0,7,5,3,0,1,High,Medium
VR,142277,14227,67.01901073239401,22325.15298268865,7060,30574.64015441024,17590.71434326672,Simulation,0,0.1236370906279069,0.1165708262299112,9.7751832942257,High,0.6965212903769392,0.6406079179120426,0.1369208434945809,0.0069219067241782,0.3694557708630355,0.6733718604134251,0.1148756858641258,0.69652448657188,9535263.789972823,0.21489517036773506,333.1167192519848,1,0,0,5,1,2,0,0,High,Low
VR,103451,10345,63.73872887901454,36817.42436281398,5232,44473.71233212805,23876.47158642194,Action,1,0.2307998142736362,0.2076642135668402,10.08069068193528,High,0.4920641607599869,0.6048597677680129,0.298045066929861,0.0146052837909597,0.4593392737162056,0.4702156034674372,0.2660407787025185,0.4921011058451817,6593835.241262933,0.4299012318114668,577.630351441411,1,0,0,4,4,2,0,0,Medium,Low
Console,118823,11882,65.24326803093707,52148.75664746454,6098,70906.21833526061,40590.33300432572,Adventure,0,0.3416033344076965,0.2938654169200886,10.611309850001405,High,0.5730128805990584,0.6212560696422214,0.4684979203024699,0.0225496995033784,0.6154530419114188,0.5664592131584796,0.5535184011527808,0.5730384412848869,7752400.837240036,0.5967381595756764,799.2971262987106,1,0,0,11,1,4,1,0,High,Medium
VR,150676,15067,73.20832593827492,31595.3889126289,7557,77164.58933019766,38316.97433304467,FPS,0,0.254300448200408,0.2265780053795355,10.55367436881503,High,0.7407502975281467,0.708058392949915,0.2399867829940202,0.0162902375288352,0.5984960741061625,0.7286063569682151,0.621583896487312,0.7407582938388626,11030737.719075512,0.5121226295508088,431.5819069441408,1,0,0,2,2,1,0,0,High,Medium
PC,136165,13616,41.08843749770118,23485.78640012784,6815,36804.35575591844,28222.10233881952,FPS,0,0.2072639983756436,0.1883566409626402,10.247896153411968,Medium,0.664335590685526,0.3580193884051772,0.1498246977747584,0.0129178075681973,0.5085328908827651,0.6461435874638808,0.1826295276470668,0.6643496577145866,5594807.091874481,0.2702923347109642,571.5911295347219,0,0,0,8,2,3,0,1,High,Low
Mobile,139165,13916,61.93735290367431,30379.02551850114,6923,86423.93319761727,22252.87145690797,FPS,0,0.1599027877476949,0.1483361979407697,10.01027127052176,High,0.6801335453769919,0.5852285709042533,0.2264633261008026,0.009522092834436,0.4386211385046192,0.6581462547232718,0.7222877101983444,0.6801474460242234,8619511.716839835,0.6210177357641452,490.47988159498766,1,0,0,11,6,4,1,0,High,Low
